Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Do It Again","Pia Mia","Do It Again","journey","Playlist","USUM71505606","72Bz4ciRZPBcVSw0nrZDHi"
"T.G.I.F.","Kid Cudi","Man On The Moon: The End Of Day","journey","Playlist","USUM70982485","0eioP30cNMkSo0789BJ1DW"
"Hyyerr","Kid Cudi","Man On The Moon: The End Of Day","journey","Playlist","USUM70981909","1bZpmUh0kWkNhh3DgvknNL"
"The Way I Are","Timbaland","Shock Value","journey","Playlist","USUM70722806","2bLqfJjuC5syrsgDsZfGmn"
"Bullets","Archive","Controlling Crowds (Parts I-III)","journey","Playlist","GBEYA0800112","5zxJ3BZyd6BK2gX4b2RnB4"
"I Really Want to Stay at Your House","Rosa Walton","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)","journey","Playlist","USLS52081705","7mykoq6R3BArsSpNDjFQTm"
"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","journey","Playlist","USQX91300809","2Foc5Q5nqNiosCNqttzHof"
"By Design","Kid Cudi","Passion, Pain & Demon Slayin'","journey","Playlist","USUM71614687","5FxVTEpoBress37MmlMhbZ"
"The Son of Flynn - From ""TRON: Legacy""/Score","Daft Punk","TRON: Legacy","journey","Playlist","USWD11054878","1xPec5BN0Zxv77zrWKq43S"
"Recognizer - From ""TRON: Legacy""/Score","Daft Punk","TRON: Legacy","journey","Playlist","USWD11054879","0sl4vCvb4kyAnTDGqN94pb"
"Block Rockin' Beats","The Chemical Brothers","Brotherhood","journey","Playlist","GBAAA0300503","14Hbdta0RRZnKqecZ7Picc"
"Robot Rock","Daft Punk","Human After All","journey","Playlist","GBDUW0400103","7LL40F6YdZgeiQ6en1c7Lk"
"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding","Delirium (Deluxe)","journey","Playlist","GBUM71406823","3zHq9ouUJQFQRf3cm1rRLu"
"I Need Your Love (feat. Ellie Goulding)","Calvin Harris","18 Months","journey","Playlist","GBARL1201390","05SBRd4fXgn8FX7bf8BCAE"
"Burn","Ellie Goulding","Halcyon Days","journey","Playlist","GBUM71303482","2GgxS8bUT5G25QJTsfSv0R"
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","A$AP Rocky","AT.LONG.LAST.A$AP","journey","Playlist","USRC11500811","2N3U8uTYhjX2KwGT0pf5x0"
"Following the Sun","SUPER-Hi","Following the Sun","journey","Playlist","SE5BU2081473","2sFbdDiEDpyCdP5nUCuGBm"
"Fast Car","Tracy Chapman","Tracy Chapman","journey","Playlist","USEE10180719","2M9ro2krNb7nr7HSprkEgo"
"Flame Trees - 2011 Remastered","Cold Chisel","The Best Of Cold Chisel - All For You - Deluxe","journey","Playlist","AUU741100130","2XTh5sTQjETlCo2EHZFhKG"
"Soundtrack 2 My Life","Kid Cudi","Man On The Moon: The End Of Day (Int'l Version)","journey","Playlist","USUM70981690","0Ns3nvzgfC6Yh3j5apV66n"
"Mojo So Dope","Kid Cudi","Man On The Moon II: The Legend Of Mr. Rager","journey","Playlist","USUM71025500","6hPSal3ragmfUt1I5mKZjn"
"Up Up & Away","Kid Cudi","Man On The Moon: The End Of Day (Int'l Version)","journey","Playlist","USUM70981911","5CGDrFkXmbdetIgUt77V9g"
"Just What I Am","Kid Cudi","Indicud","journey","Playlist","USUM71210095","20bJBbPapGQ4bqs0YcA9xY"
"love.","Kid Cudi","The Boy Who Flew To The Moon (Vol. 1)","journey","Playlist","USUM72212692","5XFoaqV1Z8XaLJidchVWhh"
"Memories (feat. Kid Cudi)","David Guetta","One More Love","journey","Playlist","FRZID0900480","5xYC48nOppVemY6U5GRGTb"
"Erase Me - Main","Kid Cudi","Man On The Moon II: The Legend Of Mr. Rager","journey","Playlist","USUM71020517","6XkuklKiHYVTlVvWlTgQYP"
"Just A Dream","Nelly","5.0","journey","Playlist","USUM71020948","3ZdJffjzJWFimSQyxgGIxN"
"Immigrant Song - Remaster","Led Zeppelin","Led Zeppelin III (Remaster)","journey","Playlist","USAT21300934","78lgmZwycJ3nzsdgmPPGNx"
"After Dark","Mr.Kitty","Time","journey","Playlist","USY251660155","2LKOHdMsL0K9KwcPRlJK2v"
"One day (第459話〜492話 OP)","Muray","熱烈!アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「ONE PIECE」vol.2","journey","Playlist","JPP751101091","2OrM9Dz171ht7Rd1xZjPxB"
"Rapture - Remastered 2001","Blondie","Autoamerican (Remastered 2001)","journey","Playlist","USCH30100092","0D6qZlc6vNR7PDW2RKGPsV"
